Chromosome	Start	Stop	Name	Size	Orientation	RefSeq	FlyBase	CStart	CStop	NumExons
chr2R	11902412	11903555	Rrp42	1143	+	NM_166134	CG8395	11902482	11903535	4
chrX	16683437	16685299	Rrp45	1862	-	NM_001298424	n/a	16683709	16685163	3
chr3R	6239022	6239964	Rrp46	942	+	NM_141744	CG4043	6239094	6239919	3
chrX	15838929	15840282	Rrp47	1353	+	NM_001298381	n/a	15839088	15839636	2
chr3R	10708219	10711968	Rrp6	3749	-	NM_001300401	n/a	10708445	10711664	5
chr2R	4051068	4055274	Rs1	4206	+	NM_001299259	n/a	4052460	4055172	6
chr2L	10261794	10263554	Rsf1	1760	-	NM_001273389	n/a	10262815	10263418	1
chr2L	20350433	20365254	RtGEF	14821	+	NM_001103715	n/a	20355409	20364490	9
chrX	13651211	13652631	Rtc1	1420	+	NM_132691	CG11130	13651303	13652577	3
chr2R	18262594	18265989	Rtf1	3395	+	NM_001299788	n/a	18262696	18265258	4
chr2L	4993640	5009720	Rtnl1	16080	-	NM_175969	CG33113	4994207	5009375	5
chr3R	3354585	3355963	Rtnl2	1378	-	NM_001260035	n/a	3354676	3355516	3
chrX	20461278	20494800	RunxA	33522	-	NM_001042820	CG34145	20463188	20475662	6
chrX	20409523	20438124	RunxB	28601	+	NM_001272816	n/a	20411907	20437040	6
chr2R	16804257	16824535	Rx	20278	+	NM_166413	CG10052	16804553	16824278	6
chr2R	4747868	4775602	RyR	27734	+	NM_001259277	n/a	4750461	4775320	28
chr2L	1049673	1077815	S	28142	-	NM_078726	CG4385	1052037	1062146	5
chr3L	8610334	8612574	S-Lap1	2240	+	NM_139987	CG6372	8610536	8612323	3
chr3L	8612987	8615191	S-Lap2	2204	+	NM_168282	CG32351	8613243	8615013	3
chr3L	10458286	10461580	S-Lap3	3294	+	NM_168410	CG32063	10459611	10461219	2
chr3L	10483960	10486034	S-Lap4	2074	+	NM_168411	CG32064	10484273	10485848	1
chr2R	9484181	9486255	S-Lap5	2074	+	NM_137048	CG18369	9484326	9485976	1
chr2R	9665628	9667750	S-Lap7	2122	-	NM_137056	CG13340	9665863	9667447	1
chr2R	12378604	12380738	S-Lap8	2134	+	NM_137288	CG4439	12378821	12380505	2
chr3L	21606896	21610476	S1P	3580	-	NM_141080	CG7169	21606924	21610407	6
chr2R	7729607	7731745	S2P	2138	-	NM_136861	CG8988	7729813	7731458	3
chrX	18682496	18700090	S6KL	17594	+	NM_001258814	n/a	18682864	18699781	9
chr3L	5790648	5804031	S6k	13383	-	NM_001274521	n/a	5793529	5803500	10
chrX	21931799	21938207	S6kII	6408	+	NM_001272850	n/a	21932186	21935275	2
chr2L	6950420	6954586	SA	4166	+	NM_057920	CG3423	6950538	6954454	10
chr3L	1434335	1437872	SA-2	3537	-	NM_138265	CG13916	1434403	1437643	6
chr3L	21505240	21508987	SAK	3747	-	NM_141067	CG7186	21506165	21508851	7
chr2L	12431074	12434038	SC35	2964	-	NM_001201865	n/a	12432344	12433912	5
chr2R	1913777	1923893	SCAP	10116	-	NM_176097	CG33131	1914174	1923011	7
chr2L	10976771	10982395	SCAR	5624	+	NM_001273439	n/a	10977961	10981665	7
chr3L	1963142	1966805	SCOT	3663	+	NM_167928	CG1140	1963473	1966679	4
chr2R	19812599	19820967	SERCA	8368	-	NM_001299867	n/a	19815245	19820307	9
chr3R	13366142	13370870	SF1	4728	+	NM_079915	CG5836	13366346	13370654	6
chr3R	12164664	12167710	SF2	3046	-	NM_001260210	n/a	12166375	12167613	4
chr3L	9703521	9706927	SH3PX1	3406	-	NM_140091	CG6757	9703827	9706785	3
chr3R	11040483	11044596	SIDL	4113	-	NM_142174	CG6623	11040582	11044499	6
chr2R	20465088	20465666	SIFa	578	-	NM_001259567	n/a	20465318	20465589	2
chr3R	17102385	17119720	SIFaR	17335	-	NM_001170203	n/a	17104844	17117790	6
chrX	5234268	5299171	SK	64903	+	NM_001272324	n/a	5245861	5297382	15
chr3R	17959551	18121848	SKIP	162297	+	NM_001260304	n/a	18000089	18119623	20
chr2L	8200464	8205132	SLC5A11	4668	-	NM_135348	CG8451	8200884	8204695	10
chrX	21188962	21190323	SLIRP1	1361	-	NM_001031912	n/a	21189881	21190154	2
chr3R	4476805	4477215	SLIRP2	410	+	NM_141551	CG8021	4476838	4477114	1
chr3R	19884008	19888537	SMC1	4529	+	NM_142954	CG6057	19884122	19888444	11
chr2R	10736125	10740158	SMC2	4033	-	NM_137151	CG10212	10736176	10740059	7
chrX	16483028	16487472	SMC3	4444	-	NM_078650	CG9802	16483372	16487399	5
chr3L	21562275	21566623	SMC5	4348	+	NM_168924	CG32438	21562478	21566563	15
chr3L	7367149	7374574	SMSr	7425	-	NM_139857	CG32380	7367693	7374330	4
chr3L	13371682	13372290	SNCF	608	+	NM_140378	CG14112	13371721	13372162	1
chr3R	16966460	17038409	SNF4Agamma	71949	+	NM_169946	CG17299	16980648	17038249	13
chrX	16533842	16534452	SNRPG	610	-	NM_132911	n/a	16534012	16534370	3
chr3L	13294734	13295022	SP	288	+	NM_079333	CG17673	13294737	13294970	2
chr3R	25070682	25076173	SP1029	5491	-	NM_170405	CG11956	25070811	25074128	8
chr3L	6682426	6696621	SP1173	14195	-	NM_168177	n/a	6683065	6685553	7
chr2R	11919434	11934748	SP2353	15314	+	NM_001299545	n/a	11925829	11933110	15
chr2R	14528366	14545727	SP2637	17361	-	NM_001169728	n/a	14528951	14530162	6
chr2L	5037708	5040818	SP555	3110	+	NM_144359	CG14041	5039110	5040060	2
chr3R	22694959	22697717	SPARC	2758	-	NM_143252	CG6378	22695099	22696076	3
chr3R	19511976	19513869	SPE	1893	+	NM_142911	CG16705	19512007	19513836	4
chr2L	17454262	17455923	SPH93	1661	-	NM_135996	CG6639	17454337	17455896	2
chrX	5340688	5387573	SPR	46885	+	NM_131997	CG16752	5372803	5386294	6
chr3L	22742543	22780731	SPoCk	38188	+	NM_168961	CG32451	22742717	22777587	5
chr3L	19787034	19792079	SREBP	5045	+	NM_001275135	n/a	19788009	19791839	8
chr2R	11268953	11275356	SRPK	6403	+	NM_137190	CG8174	11269416	11272896	4
chr3L	13029920	13034076	SRm160	4156	+	NM_140370	CG11274	13030352	13033511	4
chr2R	20578944	20581909	ST6Gal	2965	-	NM_166684	n/a	20579064	20580975	7
chrX	16207741	16211783	SWIP	4042	+	NM_132888	CG13957	16207914	16211646	9
chr3L	1247816	1250451	Sac1	2635	+	NM_001202087	n/a	1248290	1250069	2
chr3R	20643185	20648072	Saf-B	4887	+	NM_170169	CG6995	20643338	20647888	9
chr2L	813313	815950	Saf6	2637	-	NM_001272914	n/a	813456	815831	5
chr2L	106902	114432	Sam-S	7530	+	NM_205880	CG2674	108685	113542	8
chr2L	10339456	10341503	SamDC	2047	+	NM_057875	CG5029	10339514	10341381	7
chr2L	11013205	11066998	Samuel	53793	-	NM_080362	CG31868	11014199	11055377	7
chr2R	8824395	8827917	Sans	3522	+	NM_176160	n/a	8825957	8827822	6
chr3R	26709185	26714784	Sap-r	5599	-	NM_079858	CG12070	26709634	26714655	7
chr3L	12799001	12806136	Sap130	7135	+	NM_001274855	n/a	12799364	12805929	11
chrX	16681315	16683677	Sap30	2362	+	NM_001298423	n/a	16681982	16682728	3
chr3R	11760821	11787846	Sap47	27025	+	NM_001300421	n/a	11761847	11783320	9
chr3R	18182406	18186433	Sar1	4027	+	NM_170002	CG7073	18183350	18185675	6
chr2R	17369431	17374612	Sara	5181	+	NM_079990	CG15667	17369729	17374210	8
chr2R	13641059	13643927	Sardh	2868	-	NM_137419	CG6385	13641080	13643883	3
chr3R	2977088	2979941	Sas-4	2853	+	NM_141444	CG10061	2977129	2979886	2
chr3R	25821078	25822756	Sas-6	1678	+	NM_143499	CG15524	25821088	25822678	4
chrX	5211441	5213104	Sas10	1663	+	NM_131987	CG4202	5211536	5212823	1
chr3R	11941882	11971006	Sb	29124	+	NM_001300426	n/a	11965568	11970484	11
chr3R	7615014	7622670	Sbf	7656	-	NM_169430	CG6939	7615650	7622157	11
chr3L	8297256	8298425	Sbp2	1169	+	NM_139947	CG7066	8297292	8298348	3
chr3L	3903491	3905035	Sc2	1544	+	NM_139579	CG10849	3903540	3904888	4
chrX	15340211	15343916	Scamp	3705	-	NM_001272643	n/a	15341454	15343800	6
chr3R	23506152	23507751	Sce	1599	-	NM_058161	CG5595	23506272	23507637	2
chr2L	8303428	8305376	Scgalpha	1948	+	NM_001273317	n/a	8303540	8305193	5
chr3R	8246957	8248151	Scgbeta	1194	-	NM_079603	CG5657	8247006	8248065	1
chrX	1629977	1648098	Scgdelta	18121	-	NM_001169169	n/a	1640423	1644446	7
chr2L	16837971	16841884	SclA	3913	+	NM_001299066	n/a	16839226	16839313	5
chr2L	16837971	16841884	SclB	3913	+	NM_001299063	n/a	16840295	16840385	5
chrX	11814036	11818695	Sclp	4659	-	NM_001272546	n/a	11814763	11818476	8
chr3R	5459080	5463333	Scm	4253	-	NM_169299	CG9495	5460059	5462877	4
chr2L	4967831	4968935	Scox	1104	-	NM_135040	CG8885	4968006	4968825	2
chr2RHet	1707563	1743021	Scp1	35458	-	NM_001276231	n/a	1708136	1742115	7
chr3R	12400264	12409385	Scp2	9121	-	NM_079657	CG14904	12400792	12404769	5
chr2L	18831228	18833630	ScpX	2402	+	NM_079976	CG17320	18831341	18833495	5
chr3R	2648841	2675703	Scr	26862	-	NM_206443	CG1030	2651103	2667902	3
chr3L	3814210	3818383	Scsalpha	4173	+	NM_079181	CG1065	3814318	3817999	4
chr2R	17279906	17368681	Sdc	88775	-	NM_001144257	n/a	17282067	17367688	7
chr2R	15279367	15283476	SdhA	4109	-	NM_166344	CG17246	15279903	15283248	5
chr3L	11915709	11917857	SdhAL	2148	-	NM_140266	CG5718	11915835	11917791	1
chr2R	2695130	2696677	SdhB	1547	+	NM_057753	CG3283	2695259	2696481	3
chrX	18788478	18790614	SdhBL	2136	+	NM_001298491	n/a	18788694	18790195	3
chr3R	7034608	7035571	SdhC	963	-	NM_001275543	n/a	7034948	7035521	2
chr3R	19585204	19586322	SdhD	1118	-	NM_142924	CG10219	19585443	19586216	4
chr3R	12307582	12308174	Sdhaf3	592	-	NM_142295	CG14898	12307598	12308083	3
chrX	20068249	20072671	Sdic1	4422	-	NM_079931	CG9580	20068621	20072548	5
chrX	20075611	20080509	Sdic2	4898	-	NM_001298552	n/a	20076359	20080412	5
chrX	20083488	20096078	Sdic3	12590	-	NM_167693	CG32823	20084140	20095971	6
chrX	20076146	20088234	Sdic4	12088	-	NM_001298556	n/a	20076379	20088111	6
chr3R	10744349	10748805	Sdr	4456	+	NM_001300402	n/a	10744599	10747588	7
chr3R	19960552	19963260	Sec10	2708	+	NM_142961	CG6159	19960635	19963096	6
chr3R	19181999	19184253	Sec13	2254	+	NM_001300551	n/a	19182387	19183903	2
chr3R	16930767	16933694	Sec15	2927	-	NM_142685	CG7034	16931186	16933615	3
chrX	12490079	12503943	Sec16	13864	+	NM_001298230	n/a	12491385	12502790	13
chrX	700108	702233	Sec22	2125	+	NM_001272174	n/a	700517	701535	4
chr3R	1474786	1478351	Sec23	3565	+	NM_001260004	n/a	1475103	1478192	7
chr2R	5763736	5769862	Sec24AB	6126	-	NM_001299329	n/a	5764630	5768697	11
chr2L	2231105	2236844	Sec24CD	5739	-	NM_001272988	n/a	2232047	2236541	7
chr3L	17414886	17418317	Sec3	3431	-	NM_140719	CG3885	17415207	17418199	6
chr2R	4781117	4786303	Sec31	5186	+	NM_001299285	n/a	4781449	4786082	12
chr2L	3457301	3460367	Sec5	3066	+	NM_134936	CG8843	3457405	3460271	4
chr2R	14512753	14515223	Sec6	2470	+	NM_137507	CG5341	14512847	14515129	2
chr2L	6477181	6480575	Sec61alpha	3394	-	NM_001298745	n/a	6477633	6480330	4
chr2R	10506275	10507186	Sec61beta	911	+	NM_143780	CG10130	10506404	10506826	3
chrX	19537359	19538551	Sec61gamma	1192	+	NM_001298521	n/a	19537919	19538126	2
chr3L	7353660	7357466	Sec63	3806	+	NM_139854	CG8583	7354007	7357131	4
chr2L	13793520	13799674	Sec71	6154	+	NM_135831	CG7578	13793847	13799145	3
chr3R	1580653	1584719	Sec8	4066	-	NM_169098	CG2095	1580879	1584540	9
chrX	2513831	2516173	Seipin	2342	+	NM_130656	CG9904	2514342	2515752	3
chr2R	10156276	10158163	SelD	1887	-	NM_166045	CG8553	10156470	10157667	2
chrX	11781316	11782273	SelG	957	+	NM_132535	CG1844	11781429	11781892	3
chr3R	6689076	6694364	SelR	5288	-	NM_206473	n/a	6689356	6692642	4
chr2L	7063985	7064467	Sem1	482	+	NM_144298	CG13779	7064085	7064380	2
chr2L	8542146	8672041	Sema-1a	129895	+	NM_135399	CG18405	8564058	8666211	22
chr2R	13560343	13571004	Sema-1b	10661	-	NM_137400	CG6446	13561814	13565909	7
chr2R	12387682	12420964	Sema-2a	33282	+	NM_166178	CG4700	12391052	12419905	15
chr2R	12274028	12319261	Sema-2b	45233	+	NM_001274096	n/a	12286598	12316320	15
chr3L	12060610	12074930	Sema-5c	14320	-	NM_137449	CG5661	12061234	12074451	12
chr2L	15612493	15613335	Semp1	842	-	NM_135912	CG11864	15612517	15613326	2
chr3L	20948854	20949850	Sems	996	-	NM_141013	CG10586	20948888	20949829	2
chr2L	2254175	2255050	Send1	875	-	NM_134818	CG17012	2254272	2255040	1
chr2L	14345914	14346688	Send2	774	-	NM_135864	CG18125	14345934	14346654	1
chrX	21229312	21232715	Sep1	3403	+	NM_078706	CG1403	21229402	21231865	5
chr3R	16411850	16414078	Sep2	2228	-	NM_001275835	n/a	16412067	16413150	3
chrX	16578248	16589206	Sep4	10958	-	NM_167530	CG9699	16579183	16588235	5
chr2R	3847637	3849426	Sep5	1789	-	NM_143704	CG2916	3847885	3849154	2
chr3R	22997811	23019989	Ser	22178	-	NM_001300629	n/a	22998712	23017464	15
chr2L	2250430	2251275	Ser12	845	-	NM_078732	CG17240	2250532	2251270	1
chrX	20833631	20834532	Ser6	901	-	NM_078702	CG2071	20833734	20834514	1
chrX	9759265	9761103	Ser7	1838	+	NM_132354	CG2045	9759369	9760988	3
chr2R	9321711	9322550	Ser8	839	+	NM_137030	CG4812	9321716	9322499	1
chr2R	20292117	20298597	SerT	6480	-	NM_001299910	n/a	20292974	20297095	8
chr2R	19601422	19622369	Sesn	20947	+	NM_001103968	n/a	19610347	19620171	10
chr3R	11089273	11090975	Set	1702	+	NM_142181	CG4299	11089408	11090751	4
chr3LHet	593049	600636	Set1	7587	+	NM_001170377	n/a	594800	600353	6
chrX	13307274	13315057	Set2	7783	+	NM_001169269	n/a	13307499	13314788	6
chr3R	10141759	10146216	Set8	4457	+	NM_169577	CG3307	10142333	10144480	4
chr2L	13169648	13176785	Sfmbt	7137	-	NM_001144349	n/a	13170451	13175813	8
chr2L	3387353	3387743	Sfp23F	390	-	NM_001169385	n/a	3387403	3387708	2
chr2L	3667976	3668551	Sfp24Ba	575	-	NM_001169388	n/a	3668112	3668531	2
chr2L	3669260	3669775	Sfp24Bb	515	-	NM_001169390	n/a	3669317	3669709	2
chr2L	3670130	3670581	Sfp24Bc	451	-	NM_001169391	n/a	3670159	3670527	2
chr2L	3700673	3701092	Sfp24C1	419	+	NM_001169394	n/a	3700699	3700998	2
chr2L	4441428	4442060	Sfp24F	632	-	NM_001169399	n/a	4441469	4442051	2
chr2L	5884349	5884774	Sfp26Ac	425	-	NM_001169421	n/a	5884380	5884751	3
chr2L	5942622	5943304	Sfp26Ad	682	-	NM_001273181	n/a	5942818	5943254	2
chr2L	11754084	11754502	Sfp33A1	418	-	NM_001169484	n/a	11754138	11754479	2
chr2L	11837712	11838049	Sfp33A2	337	+	NM_001169487	n/a	11837728	11837881	1
chr2L	11839911	11840329	Sfp33A3	418	+	NM_001169488	n/a	11839934	11840234	1
chr2L	11837242	11837486	Sfp33A4	244	+	NM_001169486	n/a	11837258	11837411	1
chr2L	15201612	15202092	Sfp35C	480	-	NM_001169511	n/a	15201706	15202064	3
chr2L	18292521	18292833	Sfp36F	312	+	NM_001299107	n/a	18292547	18292713	2
chr2L	20640916	20642216	Sfp38D	1300	+	NM_001273702	n/a	20640939	20641515	2
chr2R	11080132	11080733	Sfp51E	601	-	NM_001169686	n/a	11080243	11080726	2
chr2R	12631799	12632619	Sfp53D	820	-	NM_001299571	n/a	12632110	12632590	1
chr2R	21059767	21060218	Sfp60F	451	-	NM_001169830	n/a	21059917	21060218	2
chr3L	6343375	6343929	Sfp65A	554	+	NM_001169882	n/a	6343409	6343835	1
chr3L	13289629	13289960	Sfp70A4	331	-	NM_001300128	n/a	13289788	13289956	1
chr3L	20889367	20890517	Sfp77F	1150	-	NM_001300205	n/a	20890192	20890498	2
chr3L	21676197	21677142	Sfp78E	945	-	NM_001170020	n/a	21676427	21676942	4
chr3L	22073421	22073654	Sfp79B	233	+	NM_001170024	n/a	22073438	22073546	1
chr3R	3805309	3806044	Sfp84E	735	-	NM_001170073	n/a	3805482	3806015	2
chr3R	8098847	8099243	Sfp87B	396	+	NM_001170124	n/a	8098901	8099165	1
chr3R	17561630	17562018	Sfp93F	388	-	NM_001170206	n/a	17561768	17561989	2
chr3R	21655782	21655950	Sfp96F	168	-	NM_001170267	n/a	21655831	21655933	1
chr3L	18674136	18674936	Sgf11	800	-	NM_001104168	CG13379	18674197	18674788	1
chr2R	17179743	17181151	Sgf29	1408	-	NM_001299744	n/a	17179818	17180864	5
chr2L	4937408	4941423	Sgs1	4015	+	NM_078751	CG3047	4937440	4941366	2
chr3L	11505320	11506502	Sgs3	1182	+	NM_079300	CG11720	11505334	11506331	2
chrX	3144121	3145073	Sgs4	952	+	NM_057369	CG12181	3144146	3145010	1
chr3R	13421083	13421834	Sgs5	751	+	NM_079664	CG7596	13421113	13421720	3
chr3L	11502960	11503347	Sgs7	387	+	NM_057370	CG18087	11502995	11503286	2
chr3L	11502066	11502494	Sgs8	428	-	NM_057371	CG6132	11502158	11502455	2
chr2L	17471602	17474773	Sgt	3171	+	NM_001259129	n/a	17473587	17474583	2
chr3R	4129911	4130996	Sgt1	1085	-	NM_141526	CG9617	4130307	4130844	1
chrX	17826133	17957280	Sh	131147	-	NM_167594	CG12348	17834759	17933263	14
chr3L	7357683	7362360	Sh3beta	4677	-	NM_001202128	n/a	7358345	7362034	6
chr3L	2895016	2959579	Shab	64563	+	NM_001274416	n/a	2924081	2957533	12
chr3L	19559950	19577668	Shal	17718	-	NM_001104176	CG9262	19561720	19567795	7
chr2R	12086930	12090389	Shark	3459	-	NM_080004	CG18247	12087229	12090332	5
chr2L	3718184	3729145	Shaw	10961	+	NM_001273072	n/a	3721380	3727019	10
chr2L	9370308	9415156	Shawl	44848	-	NM_135440	n/a	9373024	9405875	11
chrX	19505558	19509650	Shawn	4092	+	NM_001031902	n/a	19508007	19509449	9
chr3L	9420109	9421771	Shc	1662	+	NM_079944	CG3715	9420242	9421534	2
chr2R	10195646	10239307	Shroom	43661	+	NM_001103837	CG34379	10202828	10239005	10
chr3R	24496425	24497743	Sid	1318	+	NM_143370	CG9989	24496459	24497676	3
chr2L	19027709	19030780	Sidpn	3071	+	NM_078875	CG10446	19028056	19030463	3
chrX	1949351	1955948	Sik2	6597	-	NM_130616	CG4290	1949950	1954746	9
chr2R	14575636	14593310	Sik3	17674	+	NM_001299658	n/a	14580169	14592300	12
chr3L	21024924	21026661	Sin	1737	+	NM_079468	CG10582	21024988	21026572	3
chr2R	10299329	10301356	Sin1	2027	+	NM_137119	CG10105	10299411	10301121	1
chr2R	8462744	8480422	Sin3A	17678	-	NM_001201984	n/a	8465065	8473216	14
chr2L	13165563	13169551	Sirt1	3988	+	NM_058003	CG5216	13165990	13168641	2
chr3R	16154186	16156637	Sirt2	2451	+	NM_001300493	n/a	16154458	16155637	4
chrX	5558660	5559973	Sirt4	1313	-	NM_167041	n/a	5558761	5559451	3
chr3R	6081070	6087571	Sirt6	6501	-	NM_141733	CG6284	6081097	6087462	2
chr3R	24881648	24884926	Sirt7	3278	+	NM_143407	CG11305	24881865	24884401	2
chr2L	7998868	7999676	Sirup	808	+	NM_001298805	n/a	7999112	7999550	2
chr3L	20781985	20785877	Six4	3892	-	NM_140999	CG3871	20782165	20785387	4
chrX	11336571	11340045	Sk1	3474	+	NM_167286	CG1747	11337665	11339591	2
chr3L	3047086	3050159	Sk2	3073	+	NM_139505	CG32484	3047189	3049654	2
chr2L	15547518	15548243	Skadu	725	+	NM_001169514	n/a	15547564	15548021	2
chr3R	6512664	6521992	Skeletor	9328	+	NM_001032000	CG14681	6512963	6519741	8
chr2L	13221396	13222429	Ski6	1033	-	NM_001273508	n/a	13221480	13222221	2
chr3R	160600	163396	Skp2	2796	-	NM_164340	CG9772	161264	163328	5
chrX	550146	551932	SkpA	1786	+	NM_166858	CG16983	551142	551631	2
chr2R	8026799	8027734	SkpB	935	-	NM_136885	CG8881	8026943	8027429	2
chrX	19710104	19710733	SkpC	629	+	NM_134514	CG11941	19710170	19710647	1
chrX	19706761	19707417	SkpD	656	+	NM_134513	CG12700	19706833	19707310	1
chrX	19717400	19718113	SkpE	713	-	NM_134515	CG11942	19717528	19718032	1
chr2R	19345587	19346282	SkpF	695	-	NM_137952	CG12227	19345693	19346209	1
chr3R	24977795	24978988	Slbp	1193	-	NM_058132	CG11886	24977969	24978861	2
chr3L	9196164	9201953	Slc45-1	5789	-	NM_001274689	n/a	9196415	9198600	5
chr3R	21881378	21882269	Sld5	891	-	NM_143200	CG14549	21881408	21882213	3
chr2L	2488196	2492671	Slh	4475	-	NM_001144297	n/a	2490345	2492520	5
chr2R	20279651	20290203	Slik	10552	-	NM_206214	n/a	20280576	20288892	14
chr3R	19973157	19974689	Slimp	1532	-	NM_170125	CG31133	19973228	19974623	1
chr4	684246	690510	Slip1	6264	+	NM_143676	CG1783	684326	690076	6
chr2L	22471803	22478575	Slmap	6772	+	NM_001042934	CG17494	22472572	22478313	4
chr2R	7732828	7739829	Sln	7001	+	NM_136862	CG8271	7733582	7739233	6
chr2L	7642004	7675078	Slob	33074	-	NM_001273283	n/a	7643526	7661703	13
chr3R	24862779	24864793	Slu7	2014	-	NM_143402	CG1420	24862804	24864712	4
chr2L	10425482	10426627	SmB	1145	-	NM_001201851	n/a	10425527	10426496	2
chr3L	12726463	12727711	SmD1	1248	-	NM_080035	CG10753	12726722	12727616	2
chr3R	2170721	2171633	SmD2	912	-	NM_141388	CG1249	2171000	2171494	2
chr2R	8056235	8057508	SmD3	1273	+	NM_165866	CG8427	8056381	8057366	2
chr2L	7884929	7885450	SmE	521	-	NM_135318	CG18591	7885058	7885343	1
chr2R	8071348	8071815	SmF	467	-	NM_078984	CG16792	8071427	8071694	1
chr2L	13898827	13904476	Smg5	5649	-	NM_165069	CG8954	13899821	13903920	6
chr3R	20855150	20859187	Smg6	4037	-	NM_143064	CG6369	20855500	20859074	10
chr3L	16573497	16574647	Smn	1150	-	NM_001275025	n/a	16573601	16574282	2
chrX	8031073	8036312	Smox	5239	-	NM_001298077	n/a	8033254	8034715	2
chrX	12578235	12636477	Smr	58242	-	NM_001272562	n/a	12581332	12625472	11
chr3R	14804701	14807046	Smu1	2345	-	NM_001260261	n/a	14804784	14806567	6
chr2R	13480295	13491966	Smurf	11671	+	NM_001274132	n/a	13481354	13490691	8
chr3R	27585125	27587301	Smvt	2176	-	NM_143634	CG2191	27585237	27587193	4
chr3L	12392638	12395035	Smyd4	2397	-	NM_140317	CG14122	12392696	12394920	5
chr3R	5587026	5588872	Snap24	1846	-	NM_079574	CG9474	5587932	5588571	1
chr3L	24067279	24292305	Snap25	225026	+	NM_001043176	CG40452	24072565	24290843	8
chr2R	19731005	19732286	Snap29	1281	-	NM_079107	CG11173	19731245	19732169	2
chr2L	2758426	2759677	Snapin	1251	-	NM_164499	CG9958	2759242	2759647	1
chr3R	1380805	1383508	Snm1	2703	+	NM_141291	CG10018	1380856	1383262	3
chr3R	16990888	16993927	Snmp1	3039	-	NM_001275874	n/a	16991435	16993850	7
chr3L	7726349	7736141	Snmp2	9792	-	NM_001274610	n/a	7726552	7735178	9
chr2L	7891186	7984196	Snoo	93010	-	NM_001103646	CG34421	7894084	7976190	3
chr2R	17948454	17957262	Snp	8808	+	NM_166502	n/a	17956082	17956818	3
chr3R	1296647	1298476	Snr1	1829	+	NM_169055	CG1064	1296780	1298387	2
chr3L	2652087	2655455	Snup	3368	+	NM_001144405	n/a	2652133	2653189	3
chr2L	3449682	3452106	Snx1	2424	+	NM_001298657	n/a	3449794	3451567	5
chr2R	13612534	13614352	Snx16	1818	-	NM_137408	CG6410	13612886	13614229	3
chr3R	8453752	8456217	Snx3	2465	+	NM_169476	n/a	8454065	8455174	3
chr2L	8218070	8220741	Snx6	2671	-	NM_001259010	n/a	8218410	8220628	8
chr2L	9996705	10002736	SoYb	6031	-	NM_001259030	n/a	9996931	10001428	6
chr2R	7714674	7727330	Sobp	12656	-	NM_136859	CG8991	7714864	7726858	4
chrX	17714796	17721597	Socs16D	6801	-	NM_001272733	n/a	17716359	17719888	9
chr2L	18138674	18152417	Socs36E	13743	-	NM_001273605	n/a	18139844	18142527	4
chr2R	4015079	4016981	Socs44A	1902	+	NM_078935	CG2160	4015209	4016300	2
chr3L	11105380	11106840	Sod	1460	-	NM_001274771	n/a	11105552	11106739	2
chr2R	12660289	12661420	Sod2	1131	-	NM_001299574	n/a	12660524	12661294	2
chr2R	7267851	7271619	Sod3	3768	-	NM_001043071	CG9027	7268186	7269816	6
chr3R	2878056	2880263	Sodh-1	2207	+	NM_058000	CG1982	2878317	2880220	6
chr3R	6702105	6703979	Sodh-2	1874	+	NM_079587	CG4649	6702176	6703787	6
chr2L	13813815	13819824	Sos	6009	+	NM_057249	CG7793	13814213	13819378	7
chr3R	26890974	26909129	Sox100B	18155	+	NM_143582	CG15552	26891160	26908856	3
chr4	821061	855019	Sox102F	33958	-	NM_001014695	CG11153	821908	844225	5
chr2R	19866323	19872700	Sox14	6377	+	NM_001299872	n/a	19867734	19872542	2
chr2R	10088894	10099918	Sox15	11024	-	NM_079015	CG8404	10089117	10098845	3
chr3L	14096580	14101218	Sox21a	4638	-	NM_001274898	n/a	14097296	14100174	3
chr3L	14105504	14124424	Sox21b	18920	-	NM_140438	CG32139	14106123	14119172	7
chr2L	8825644	8829670	SoxN	4026	+	NM_001273340	n/a	8826493	8828779	1
chrX	9623680	9650402	Sp1	26722	+	NM_132351	n/a	9624596	9649302	4
chr3R	10047795	10049877	Sp212	2082	-	NM_206487	CG33329	10047849	10049801	4
chr3R	3585507	3589148	Sp7	3641	+	NM_141477	CG3066	3586908	3589061	6
chr3R	25316265	25316872	Spase12	607	-	NM_176583	CG11500	25316349	25316760	3
chr3R	20054063	20055757	Spase22-23	1694	-	NM_001260350	n/a	20055139	20055679	1
chrX	11379282	11380599	Spase25	1317	+	NM_001298196	n/a	11379425	11380154	2
chrX	6422980	6424759	Spat	1779	+	NM_078507	CG3926	6423148	6424702	3
chr3L	20793509	20799953	Spc105R	6444	+	NM_001275194	n/a	20793578	20799771	6
chr3R	8787466	8788971	Spc25	1505	+	NM_141982	CG7242	8787557	8788763	3
chr3R	5457362	5459395	SpdS	2033	+	NM_169298	CG8327	5457442	5458828	2
chr3R	1442365	1449847	Spec2	7482	-	NM_169081	CG14672	1443362	1444449	3
chr2L	22959605	22961118	Spf45	1513	-	NM_001042961	CG17540	22959720	22961048	3
chr2L	3527386	3530317	Spindly	2931	-	NM_134947	CG15415	3527552	3530286	6
chr2R	12975945	12979463	Sply	3518	-	NM_143775	CG8946	12976224	12979017	6
chr3L	2505244	2554292	Spn	49048	-	NM_001259642	n/a	2508306	2536211	16
chr3R	26516363	26518490	Spn100A	2127	+	NM_143561	CG1342	26516384	26518423	2
